Job ID,Posting Date,Employment Type,Employment Mode,Company Name (Eng),Nature of Business,Origin of Company Ownership,No. of Employees,Position Offered,No. of Vacancies,Job Nature,Job Description,Basic Salary,Work Location,Work Mode,Fields of Study Required,Level of Award ,No. of working hours per day,No. of working days per week,Closing Date for Application,Application should be submitted by/via:,Email,Application Documents Required,Other Benefits,Application should be addressed to,Online via NETjobs:,Online Application at company website,Additional Information,Company Name (Chi)
G2500350,2025-08-15,Internship,Part-time,Grand Alliance Asset Management Limited,Banking / Financial Services,Hong Kong,10-50 employees,Data Analyst / Developer Intern,1,Accounting / Auditing / Tax,"Responsibilities
Collect, process, analyze and visualize financial data
Integrate artificial intelligence into company workflow
Assist in database design and maintenance
Assist in ad-hoc tasks related to data processing automation
Requirements
Degree in Computer Science, Quantitative Finance, Mathematics, Risk Management, or related disciplines
Proficiency in Python, SQL and Excel VBA, and data-related libraries such as Pandas and Numpy
Proficiency in financial data analysis and interpretation
Solid foundational knowledge of computer science fundamentals including algorithms, data structures, and databases
A team player and a self-starter, with a strong sense of responsibility and the ability to work well under pressure
Detail-oriented, solid numerical reasoning ability, and strong communication and interpersonal skills
Recommended
Knowledge in HTML/CSS and web-scraping algorithms
Familiarity with python-based web frameworks such as Streamlit
Experience with cloud services and accessing remote virtual machines through Linux shell
Competence at selecting and implementing relevant machine learning programs
Proficiency in Microsoft Excel automation using corresponding Python libraries, such as Openpyxl
Relevant prior internship experience
Internship period: Flexible
Located in Central (Hong Kong), culture of growth and collaboration.
Please e-mail cover letter, CV and latest transcript to cfcheng@gaamhk.com",HKD 15000 per Month,Hong Kong,Fully on-site work,"Computer Science
Mathematics
Quantitative Finance
Risk Management",Bachelor,8,5,2025-10-20,1,cfcheng@gaamhk.com,"CV, Cover Letter",,,,,,
G2500349,2025-08-15,Internship,Part-time,"WealthRyse (Hong Kong) Co., Limited",Banking / Financial Services,South Korea,10-50 employees,Social Media & Visuals Analyst,2,Creative / Design / Artist,"Job Description
Position Summary We are seeking a dynamic and creative intern to join our team to support both social media content creation and PowerPoint presentation design. This role is ideal for someone with a keen eye for visual storytelling, a passion for branding, and a strong grasp of digital communication trends. You will work closely with our marketing and client-facing teams to elevate our brand presence and enhance the visual impact of our presentations.

Key Responsibilities Design and refine PowerPoint presentations for internal and external use, ensuring visual consistency and brand alignment.
Create engaging social media content (graphics, captions, short videos) across platforms such as LinkedIn, Instagram, and X.
Collaborate with team members to translate complex ideas into clear, compelling visuals.
Assist in developing visual templates and style guides for presentations and digital assets.
Monitor social media trends and suggest creative ways to improve engagement.
Support ad-hoc design tasks including infographics, banners, and event materials.

Keywords to Highlight PowerPoint Design
Visual Storytelling
Branding
Social Media Management
Content Creation
Graphic Design
Digital Marketing
Presentation Templates
Creative Communications
Adobe Creative Suite / Canva / Figma (optional based on tools used)

Qualifications Currently pursuing a degree in Marketing, Communications, Design, or related field.
Proficiency in PowerPoint and basic design tools (e.g., Canva, Adobe Illustrator).
Strong communication skills and attention to detail.
Ability to work independently and manage multiple tasks.
Portfolio or samples of previous design work (preferred).

What You’ll Gain Hands-on experience in a fast-paced, professional environment.
Exposure to real-world branding and client communication strategies.
Opportunity to contribute to high-impact projects and build a strong portfolio.
 ",HKD 45 per Hour,Hong Kong,Hybrid work,All disciplines,Bachelor,5,3,2025-08-31,1,hr.external@wealthryse.ai,"CV, Cover Letter, Transcript",Meal Allowance,HR (HR),,,,
G2500346,2025-08-14,Internship,Full-time,Syfe Hong Kong Limited,Banking / Financial Services,Hong Kong,100-500 employees,Marketing Intern,1,Advertising / Marketing / Marketing Research,"Support customer lifecycle management of marketing initiatives.
Create engaging ads to drive acquisition.
Conduct competitive analysis to inform strategy.
Develop compelling content for various channels.
Collaborate with KOLs and strategic partners.
Work closely with local and regional teams.
Assist with ad-hoc and administrative tasks as needed.",HKD 15000 per Month,Hong Kong,Hybrid work,"Accounting & Finance
Business Administration
Design / Multimedia Design
International Business and Global Management
Marketing",Bachelor,8,5,2025-09-30,1,cody.ng@syfe.com,CV,WFH on Fridays,Cody Ng (Marketing Director),,,,
G2500345,2025-08-14,Internship,Part-time,ESD Services Limited,Information Technology / Telecom / Technology,Hong Kong,100-500 employees,Internship,1,Others,"We are currently seeking an enthusiastic and driven Intern to join our team. This part-time internship role offers you the opportunity to gain valuable hands-on experience in Digital Technology industry.
What you'll be doing
Assisting with a variety of projects and tasks to support the day-to-day operations of the business
Developing your skills in areas such as data analysis, marketing, and technical field
Participating in team meetings and collaborating with colleagues to contribute ideas and solutions
Gaining exposure to the diverse functions and responsibilities within our dynamic organization
Outstanding performers at the end of the internship will be given priority for interview opportunities in the 2026 Graduate Recruitment.
  What we're looking for
Currently pursuing a degree in Year 3 of universities with good reputation.
Demonstrated interest in IT, eCommerce or online Media industry
Strong research, analytical, and problem-solving skills
Excellent communication and interpersonal abilities
A proactive and adaptable approach to work
Willingness to learn and take on new challenges
What we offer
At ESDlife, we are committed to providing a supportive and enriching environment for our interns. You'll have the opportunity to work alongside experienced professionals, receive mentorship, and develop valuable skills that will benefit your future career. We also offer a range of benefits, including a competitive stipend, flexible working arrangements, and opportunities for personal and professional growth.
If you're ready to embark on an exciting and rewarding internship experience, we encourage you to apply now.",HKD 75 per Hour,Hong Kong,Fully on-site work,All disciplines,Bachelor,8,3,2025-09-30,1,,CV,,,1.0,https://hecl.taleo.net/careersection/esd+external+28simple29/jobdetail.ftl?job=2500001L&tz=GMT%2B08%3A00&tzname=Asia%2FHong_Kong,,
G2500335,2025-08-13,Internship,Part-time,"WealthRyse (Hong Kong) Co., Limited",Banking / Financial Services,South Korea,10-50 employees,Business Analyst,1,Management Consultant / Business Analyst,"Join our AI InvestTECH as a Business Analyst! You'll develop company strategies, create engaging PowerPoint presentations, conduct financial modeling, interact with clients, perform due diligence on investment products, and support senior management. Ideal for those with strong analytical skills and a passion for finance. ",HKD 45 per Hour,Hong Kong,Hybrid work,All disciplines,Bachelor,5,3,2025-08-31,1,hr.external@wealthryse.ai,"CV, Cover Letter, Transcript",Meal Allowance,HR (HR),,,,
G2500334,2025-08-13,Internship,Part-time,"WealthRyse (Hong Kong) Co., Limited",Banking / Financial Services,South Korea,10-50 employees,Paralegal,1,Legal / Compliance,"Position Overview: We are seeking a detail-oriented and motivated Legal Compliance Intern to join us. This internship offers a unique opportunity to gain hands-on experience in legal research, regulatory compliance, and corporate governance while working in a dynamic and collaborative environment.
Key Responsibilities Conduct legal research and analysis on regulatory requirements and updates relevant to the company’s operations.
Assist in drafting and reviewing policies, contracts, and compliance documentation.
Support the team in monitoring adherence to local, regional, and international laws and regulations.
Collaborate with internal departments to address compliance-related matters and inquiries.
Participate in internal audits and help in the preparation of audit reports.
Help organize training sessions on compliance topics for employees and stakeholders.
Maintain and update compliance databases, records, and reports.
Qualifications Currently pursuing a Bachelor’s or Master’s degree in Law, Legal Studies, or a related field.
Strong analytical, research, and organizational skills.
Excellent written and verbal communication skills.
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint).
Ability to work independently and maintain confidentiality.
Eagerness to learn and adapt in a fast-paced environment.
What We Offer Hands-on experience in legal compliance and exposure to corporate governance and transactional law.
Mentorship and guidance from experienced legal professionals.
Opportunities to build a strong professional network.
A chance to make a meaningful impact within a reputable organization.",HKD 45 per Hour,Hong Kong,Hybrid work,All disciplines,Bachelor,5,3,2025-08-31,1,hr.external@wealthryse.ai,"CV, Cover Letter, Transcript",Meal Allowance,HR (HR),,,,
G2500333,2025-08-13,Internship,Part-time,"WealthRyse (Hong Kong) Co., Limited",Banking / Financial Services,South Korea,10-50 employees,HR / Admin,1,Human Resources / Training / Recruitment,"Position Overview: We are seeking an organized, proactive, and eager HR/Admin Intern to join our team. This internship is a valuable opportunity to gain hands-on experience in human resources and administrative management while developing essential skills in a fast-paced and collaborative environment.
Key Responsibilities Assist in recruitment efforts, including posting job advertisements, screening resumes, and scheduling interviews.
Support onboarding processes by preparing documentation and coordinating orientation sessions for new hires.
Help maintain employee records and update HR databases with relevant details.
Contribute to planning and executing employee engagement activities and events.
Provide support for office administration tasks, such as inventory management, correspondence, and scheduling meetings.
Assist in creating and improving HR policies, procedures, and training materials.
Respond to employee inquiries and provide guidance on HR-related matters.
Qualifications Currently pursuing a degree in Human Resources, Business Administration, or a related field.
Strong organizational, multitasking, and problem-solving skills.
Excellent communication and interpersonal abilities.
Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint).
High level of attention to detail and ability to handle confidential information.
A collaborative and proactive mindset.
What We Offer Insight into HR processes and administrative functions within a professional setting.
Opportunities to work closely with experienced HR and administrative professionals.
Practical experience that builds a strong foundation for a career in HR or administration.
A supportive and inclusive environment fostering learning and growth.",HKD 45 per Hour,Hong Kong,Hybrid work,All disciplines,Bachelor,5,3,2025-08-31,1,hr.external@wealthryse.ai,"CV, Cover Letter, Transcript",Meal Allowance,HR (HR),,,,
G2500338,2025-08-13,Internship,Full-time,Greenhill & Co. Asia Limited,Banking / Financial Services,United States,1-10 employees,2025 / 2026 Off-Cycle Internship,1,Banking / Finance Executive,"Greenhill’s Hong Kong office offers internship positions within the Private Capital Advisory team, focused on advising limited partners and general partners on a range of secondary liquidity solutions and primary capital formation. We are now seeking candidates for our 2025 / 2026 Off-Cycle Internship Program (Winter / Spring).
  Interns will be staffed on live transactions and gain industry exposure starting from day one. You will assist in executing all aspects of LP and GP-led secondary transactions, including both quantitative analyses and qualitative workstreams. You must be able to assimilate information from due diligence calls, financial statements and other fund documents to facilitate live deal execution, business development initiatives, and assist with valuation models.
  Applicants should submit a concise one-page cover letter and CV through our career site and indicate their preferred start and end dates between December 2025 and May 2026. Fluency in English is essential; the ability to speak an additional Asian language is advantageous.
  The closing date for applications is 15 September 2025.",HKD 180 per Hour,Hong Kong,Fully on-site work,All disciplines,"Bachelor, Master",9,5,2025-09-15,1,,"CV, Cover Letter",,,,https://mizuho.wd1.myworkdayjobs.com/mizuhoamericas/job/Hong-Kong/Private-Capital-Advisory-Internship_R6337,,
G2500325,2025-08-13,Internship,Part-time,Inflection Point Intelligence Limited,Banking / Financial Services,Hong Kong,1-10 employees,Marketing Intern,1,Advertising / Marketing / Marketing Research,"Role
This position is responsible for assisting with marketing financial courses and events, website editing, PowerPoint preparation, CRM management and conducting basic research. You’ll have opportunities to work with all members of our team and get exposure to lots of functions. In exchange we expect you to be flexible and willing to assist on any tasks presented to you. 
Qualifications
Fluency in English
Good communication skills, both oral and written
Interest in the Financial sector
Digital Marketing / Social Media Management
Website SEO
CRM Management
Intermediate Microsoft Skills, particularly PowerPoint
High energy and positive spirit!",HKD 65 per Hour (Commission/Allowance: Nil),Hong Kong,Fully remote work,"Business Administration
Economics
International Business and Global Management
Marketing
Wealth Management",Bachelor,6,3,2025-08-31,1,lisa.so@ipi-edu.com,CV,,Lisa So (Global Head of Operations & Administration),,,,
G2500324,2025-08-12,Internship,Part-time,DocPro Limited,Legal Services,Hong Kong,1-10 employees,Legal Intern,2,Legal / Compliance,"DocPro.com is currently seeking a legal intern who can help us to further scale up our legal platforms database. The candidate should be enthusiastic and passionate about writing. Prior experience is not required, but the candidate must have the dedication to learn and consistently improve throughout the duration of the internship.
Interns will help to create legal contracts and business letters. Interns will also help with building new platforms for other legal solutions, such as Doclegal.ai, our new generative AI platform. They will also help with answering queries from users of 安心三寶 – awesumcare.com and help with talks and witnessing days for eldelry.
You will be working with a lawyer with 20+ years of legal experience and a growth marketer. You will establish a strong understanding of the legal tech landscape and build a strong foundation for future careers in law and marketing, particularly relating to documentation, legal contracts, social media, and other online marketing channels. You will also be encouraged to come up with new initiatives, ideas and improvements on documents, functionalities and processes of our platform, including training AI modules for use in DocPro. With the advent of technology, legal services will be very different in the future. If you’re hoping to jump on the legal tech bandwagon early, this is the internship for you!
Responsibilities
The candidate will be responsible for helping to grow DocPro through ●      Prepare, upload and update templates to our documentation database
●      Content creation (article) and promotion
●      In-house social media account management
●      Develop, manage and iterate on the new customer acquisition strategy
●      Respond to customers enquiries
●      Contribute ideas to new legal solution platform
  Preferred Candidates
●      Able to work full time for winter / part time at least 2 days a week (min 16 hours)
●      Excellent spoken and written English is a must
●      Graduate in or pursuing a Law degree
●      Able to work independently and results-oriented
●      Fast learners with strong interest in growing a business
●      Self-motivated, entrepreneurial and hungry for success",HKD 45 per Hour,Hong Kong,Fully on-site work,Law,"Bachelor, Master, Doctorate",8,2,2025-09-30,1,hr@docpro.com,"CV, Sample English Writings",,,1.0,,,
